Name,Country,SSN,DOB,Income,Sex,Marital Status,Education,Loan,House Status,Blood Type,Blood Pressure,Heart Rate,Oxygen Level,Medical Procedure,Smoking,Alcohol Consumption,Allergies,Vaccinations,Tumor Condition,,,,,,,,,,,,,,,,,,,,
Michael Davis,UK,456-78-9123,3/20/1978,75000,Male,Divorced,High School Diploma,Yes,Own,B+,130/85,75,97%,Colonoscopy,No,Yes,Cats,Yes,Abnormal,,,,,,,,,,,,,,,,,,,,
Jessica Martinez,Australia,789-12-3456,9/10/1982,40000,Female,Married,Associate's Degree,No,Own,AB-,115/75,70,99%,Mammogram,No,No,Dust,No,Normal,,,,,,,,,,,,,,,,,,,,
David Thompson,USA,234-56-7890,6/25/1995,35000,Male,Single,Some College,No,Rent,O-,125/80,68,97%,Dental Cleaning,Yes,Yes,Peanuts,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Sarah Wilson,USA,567-89-0123,11/18/1989,55000,Female,Widowed,Doctorate Degree,Yes,Own,A+,120/80,80,95%,MRI Scan,No,No,Latex,No,Normal,,,,,,,,,,,,,,,,,,,,
Chris Brown,Canada,901-23-4567,4/5/1980,80000,Male,Married,Master's Degree,Yes,Own,B-,130/85,75,98%,Knee Surgery,Yes,No,Pollen,Yes,Abnormal,,,,,,,,,,,,,,,,,,,,
Lisa Anderson,UK,345-67-8901,8/12/1992,45000,Female,Single,Bachelor's Degree,No,Rent,AB+,110/70,70,99%,Physical Therapy,No,Yes,Shellfish,No,Normal,,,,,,,,,,,,,,,,,,,,
Mark Johnson,Australia,678-90-1234,2/28/1987,65000,Male,Married,Bachelor's Degree,Yes,Rent,A-,120/80,72,98%,Cataract Surgery,No,Yes,Dust,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Jennifer Smith,USA,210-43-5678,9/5/1991,55000,Female,Married,High School Diploma,Yes,Own,O+,115/75,68,97%,Cholecystectomy,Yes,Yes,Cats,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Alexis Rodriguez,USA,654-32-1098,5/20/1988,45000,Female,Single,Some College,No,Rent,O+,120/80,70,96%,Dental Filling,No,No,Pollen,No,Normal,,,,,,,,,,,,,,,,,,,,
Daniel White,Canada,876-54-3210,11/12/1976,70000,Male,Married,Master's Degree,Yes,Own,B+,130/85,78,98%,Hip Replacement,Yes,Yes,Peanuts,No,Normal, Name,Country,SSN,DOB,Income,Sex,Marital Status,Education,Loan,House Status,Blood Type,Blood Pressure,Heart Rate,Oxygen Level,Medical Procedure,Smoking,Alcohol Consumption,Allergies,Vaccinations,Tumor Condition
Jacob Thompson,USA,678-90-1235,9/23/1988,65000,Male,Married,Bachelor's Degree,Yes,Own,O+,120/80,72,98%,Appendectomy,No,No,Pollen,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Olivia Harris,Canada,543-21-9876,6/10/1992,50000,Female,Single,Associate's Degree,No,Rent,B-,110/70,68,96%,Laser Eye Surgery,No,Yes,Shellfish,No,Normal,,,,,,,,,,,,,,,,,,,,
Noah Davis,USA,890-12-3456,3/18/1979,75000,Male,Married,Master's Degree,Yes,Own,AB+,130/85,75,97%,Colonoscopy,Yes,Yes,Cats,Yes,Abnormal,,,,,,,,,,,,,,,,,,,,
Emma Martinez,Australia,210-43-5679,11/25/1983,45000,Female,Married,High School Diploma,Yes,Own,A-,115/75,70,99%,Mammogram,No,No,Dust,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Liam Wilson,USA,567-89-0124,5/15/1996,35000,Male,Single,Some College,No,Rent,A+,120/80,68,97%,Dental Cleaning,No,Yes,Peanuts,No,Normal,,,,,,,,,,,,,,,,,,,,
Ava Anderson,Canada,123-45-6780,10/18/1990,55000,Female,Divorced,Doctorate Degree,Yes,Rent,O-,125/80,80,95%,MRI Scan,Yes,Yes,Latex,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Mason Garcia,USA,901-23-4568,2/5/1985,80000,Male,Married,Bachelor's Degree,Yes,Own,B+,130/85,75,98%,Knee Surgery,Yes,Yes,Pollen,No,Abnormal,,,,,,,,,,,,,,,,,,,,
Sophia Wilson,UK,456-78-9124,7/22/1993,55000,Female,Single,Master's Degree,No,Rent,AB-,110/70,70,99%,Physical Therapy,No,Yes,Shellfish,No,Normal,,,,,,,,,,,,,,,,,,,,
Logan Martin,Australia,789-12-3457,4/3/1988,70000,Male,Married,Bachelor's Degree,Yes,Own,A-,120/80,72,98%,Cataract Surgery,No,Yes,Dust,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Isabella Smith,USA,543-21-9877,1/10/1992,55000,Female,Married,High School Diploma,Yes,Own,O+,115/75,68,97%,Cholecystectomy,Yes,Yes,Cats,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Jackson Johnson,USA,567-89-0125,8/5/1987,45000,Male,Single,Some College,No,Rent,O+,120/80,70,96%,Dental Filling,No,No,Pollen,No,Normal,,,,,,,,,,,,,,,,,,,,
Sophia White,Canada,789-12-3458,12/22/1975,70000,Female,Married,Doctorate Degree,Yes,Own,B-,130/85,78,98%,Hip Replacement,Yes,No,Peanuts,Yes,Normal,,,,,,,,,,,,,,,,,,,,
Aiden Thompson,UK,678-90-1236,4/8/1995,55000,Male,Single,Bachelor's Degree,No,Rent,A+,110/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
